Station;RoundingTrips
Parc des Rapides (LaSalle / 6e avenue);188
Métro Laurier (Berri / St-Joseph);185
Métro Rosemont (de St-Vallier / Rosemont);182
de Gaspé / Jarry;180
Marquette / Rachel;180
Mackay / de Maisonneuve;179
Square St-Louis (du Square St-Louis / Laval);173
Métro Viau (Pierre-de-Coubertin / Viau);172
REV (Souligny / Desmarteau);163
Préfontaine / Marcel-Pépin;162
Parc Henri-Durant (Léger / Henri-Durant);160
de Gaspé / de Liège;159
de Gaspé / Beaubien;158
St-Hubert / Duluth;154
du Mont-Royal / Clark;151
St-Alexandre / Ste-Catherine;147
de l'Hôtel-de-Ville / Villeneuve;137
Alexandre-DeSève  / Ontario;130
Métro Place-d'Armes (Viger / St-Urbain);130
Bishop / de Maisonneuve;127
Le Corbusier / St-Martin O;126
Métro St-Laurent 2 ( de Maisonneuve / St-Laurent);126
André-Laurendeau / Rachel;125
Parc Chenier (de l'Aréna / Chenier);123
Beaudry / Sherbrooke;122
Marché Maisonneuve;115
Parc Olympique (Pie-IX / Sherbrooke);109
Rachel / du Parc-Lafontaine;109
St-Hubert / de Maisonneuve (sud);108
Chambord / de Castelnau;102
Brittany / Ainsley;87
Dubois / Eadie;86
Métro St-Michel (Shaughnessy / St-Michel);84
Métro Langelier (Langelier / Sherbrooke);75
6e avenue / Villeray;63
de Maisonneuve / Mansfield SE;61
St-André / Cherrier;58
Fullum / Terrasse Mercure;56
18e avenue / St-Joseph Lachine;55
William / St-Henri;53
Duluth / du Parc;46
de la Salle / Ste-Catherine;45
St-Laurent / St-Jacques;40
Irene / St-Jacques;33
Wolfe / de la Gauchetière;29
Square Nelligan (des Appalaches / Alexis-Nihon);28
St-Jacques / St-Pierre;23
Plessis / Ontario;22
Berri /Ste-Catherine;19
de Bordeaux / St-Zotique;19
Parc Chopin (Dumouchel / Tessier);19
Parc St-Laurent (Dutrisac);18
Union / Ste-Catherine;17
Parc Ferland (Belleherbe / Albanel);10
Métro Beaudry ( Montcalm / Ste-Catherine);9
Marquette / Fleury;4
de Châteauguay / Ropery;2
Parc Angrignon (Lacroix / des Trinitaires);2
11e avenue / du Souvenir;0
16e avenue / St-Joseph;0
19e avenue / Saint-Antoine;0
1ère avenue / Masson;0
26e avenue / Beaubien;0
2e avenue / Wellington;0
35e avenue / Beaubien;0
3e avenue / Holt;0
41e avenue / Victoria;0
4e avenue / de Verdun;0
5e avenue / Bannantyne;0
6e avenue / Bélanger;0
7e avenue / St-Joseph Rosemont;0
8e avenue / Everett;0
8e avenue / Notre-Dame Lachine;0
Alexandra / Jean-Talon;0
Alexis-Nihon / St-Louis;0
Ann / Ottawa;0
Argyle / de Verdun;0
Aréna Chaumont (Chaumont / des Ormeaux);0
Atateken / du Square Amherst;0
Aylmer / Sherbrooke;0
Aylwin / Ontario;0
Bassin olympique (Chemin du Chenal le Moyne);0
Beatty / de Verdun;0
Bennett / Adam;0
Bennett / Ste-Catherine;0
Berri / Cherrier;0
Berri / Duluth;0
Berri/ Duluth;0
Bibliothèque d'Ahuntsic (Lajeunesse / Fleury);0
Bibliothèque de Verdun (Brown / Bannantyne);0
Bibliothèque du Vieux-St-Laurent (de l'Église / Filiatrault);0
Bibliothèque Jean-Corbeil (Goncourt / Place Montrichard);0
Bishop / René-Lévesque;0
Bishop/ René-Lévesque;0
Bloomfied / St-Viateur;0
Bloomfield / Jean-Talon;0
Bourgeoys / Favard;0
Bourget / St-Jacques;0
Boyer / du Mont-Royal;0
Boyer / Jean-Talon;0
Boyer / Rachel;0
Bélanger / St-Laurent;0
Calixa-Lavallée / Rachel;0
Cartier / Marie-Anne;0
Cartier / Masson;0
Cartier / St-Joseph;0
CCI Outremont (Dollard / Durcharme);0
Centre récréatif Édouard-Rivet (Lesage / Notre-Dame);0
Chabot / du Mont-Royal;0
Chambord / Fleury;0
Chapleau / Terrasse Mercure;0
Chomedey / Lincoln;0
CHSLD St-Michel (8e avenue / Jarry);0
CHU Sainte-Justine (de la Côte Sainte-Catherine / Hudson);0
Cité des Arts du Cirque (Paul Boutet / des Regrattiers);0
Clark / Fleury;0
Complexe sportif Claude Robillard (Émile-Journault);0
Complexe sportif Claude-Robillard;0
d'Orléans / du Mont-Royal;0
d'Orléans / Hochelaga;0
d'Orléans / Masson;0
Dandurand / des Érables;0
Darling / Sherbrooke;0
de Bellechasse / Pie-IX;0
de Bordeaux / Gilford;0
de Brébeuf / du Mont-Royal;0
de Côme / Jean-Talon;0
de Gaspé / Fairmount;0
de Gaspé / St-Viateur;0
de l'Esplanade / du Mont-Royal;0
de l'Hôtel-de-Ville / Ontario;0
de l'Hôtel-de-Ville / Sherbrooke;0
de l'Église / Bannantyne;0
de l'Église / de Verdun;0
de la Montagne/ Sherbrooke;0
de la Salle / Ontario;0
de Lanaudière / du Mont-Royal;0
de Lanaudière / Laurier;0
de Lanaudière / Marie-Anne;0
de Mentana / Laurier;0
de Normanville / Beaubien;0
de Normanville / Jean-Talon;0
de Rouen / Lespérance;0
de Versailles / St-Jacques;0
Delisle / George-Vanier;0
des Érables / Bélanger;0
des Érables / Dandurand;0
des Érables / Rachel;0
Dixie / 53e avenue;0
Dorion / Rachel;0
Drolet / Beaubien;0
Drolet / Faillon;0
Drolet / St-Zotique;0
